price,km,year,combi,model,fuel
148000,127030,1996,1,Felicia,petrol
99000,99352,1995,1,Felicia,petrol
431000,110,2003,0,Octavia,diesel
150000,112100,1998,1,Felicia,petrol
95000,131000,1995,0,Felicia,petrol
99900,68641,1996,0,Felicia,petrol
129900,107978,1996,0,Felicia,petrol
995000,3708,2002,0,Superb,diesel
99000,163000,1995,1,Felicia,petrol
119000,130000,1997,0,Felicia,petrol
579000,9368,2002,1,Octavia,diesel
130000,127378,1996,0,Felicia,petrol
689000,59128,2002,0,Superb,diesel
136000,72000,1998,0,Felicia,petrol
79950,100157,1995,0,Felicia,petrol
119000,98900,1998,0,Felicia,petrol
79900,97000,1996,0,Felicia,petrol
120000,90000,1997,0,Felicia,petrol
419999,53865,2003,0,Octavia,petrol
248000,69960,1999,0,Octavia,diesel
588000,21184,2002,0,Octavia,petrol
195000,111074,1998,0,Octavia,petrol
597000,32736,2002,1,Octavia,petrol
539000,18479,2003,0,Octavia,diesel
119900,82464,1996,0,Felicia,petrol
139900,123960,1997,0,Felicia,diesel
949000,14327,2003,0,Superb,diesel
493000,29512,2002,0,Octavia,petrol
118800,93000,1997,0,Felicia,petrol
298000,77000,1999,1,Octavia,diesel
89000,137500,1996,1,Felicia,autogas
195000,157000,1997,0,Octavia,petrol
269000,117578,1999,0,Octavia,diesel
99900,89691,1995,0,Felicia,petrol
244900,98000,1998,0,Octavia,diesel
424000,36237,2002,0,Octavia,petrol
239900,136000,1998,0,Octavia,diesel
169000,78568,1999,1,Felicia,diesel
220000,100006,2000,0,Octavia,petrol
89900,179796,1995,0,Felicia,petrol
129900,194255,1998,0,Felicia,petrol
145000,80825,1999,1,Felicia,petrol
98000,88000,1996,0,Felicia,petrol
144800,58000,1998,0,Felicia,petrol
138000,91000,1997,0,Felicia,diesel
92000,83390,1996,0,Felicia,petrol
228000,127500,1999,0,Octavia,petrol
159900,41000,1999,0,Felicia,petrol
209000,98395,1998,0,Octavia,petrol
149000,93200,2000,0,Felicia,diesel
179900,96295,1998,0,Octavia,autogas
179000,166300,1998,0,Octavia,petrol
119000,87000,1996,1,Felicia,petrol
309000,80500,2000,0,Octavia,petrol
194000,123000,1997,0,Octavia,petrol
285000,161000,1998,0,Octavia,diesel
699000,27542,2003,0,Superb,petrol
85900,152432,1996,0,Felicia,petrol
109000,137379,1996,0,Felicia,petrol
104000,171000,1996,1,Felicia,diesel
109900,146665,1997,0,Felicia,petrol
139900,69402,1998,0,Felicia,petrol
239900,120980,1997,0,Octavia,diesel
549000,19153,2002,1,Octavia,diesel
259000,68000,2000,0,Octavia,petrol
109000,78000,1997,0,Felicia,petrol
239000,102000,1998,1,Octavia,petrol
179000,118500,1996,0,Octavia,petrol
449900,53865,2001,0,Octavia,diesel
149000,58114,1999,0,Felicia,petrol
109900,174737,1996,0,Felicia,petrol
650000,17000,2002,0,Superb,petrol
84990,107070,1996,1,Felicia,petrol
269000,1595,2000,0,Octavia,petrol
269000,47000,2000,0,Octavia,petrol
118000,100000,1997,0,Felicia,petrol
109900,204250,1996,0,Felicia,petrol
479000,20712,2002,0,Octavia,diesel
295000,72000,1999,0,Octavia,diesel
229000,38126,1999,0,Octavia,petrol
275000,92000,1999,0,Octavia,diesel
339000,99000,2000,1,Octavia,diesel
214000,128674,1999,0,Octavia,petrol
109000,140000,1998,0,Felicia,petrol
139000,80000,1999,1,Felicia,petrol
147000,59090,2000,0,Felicia,petrol
138000,125000,1996,1,Felicia,petrol
105000,114085,1995,0,Felicia,petrol
93000,118000,1995,0,Felicia,petrol
129000,122000,1996,1,Felicia,autogas
315000,178077,2000,1,Octavia,diesel
128800,94000,1999,0,Felicia,petrol
329000,119000,2000,1,Octavia,diesel
639000,19587,2003,0,Superb,diesel
146000,50000,2000,0,Felicia,petrol
697000,25845,2003,0,Superb,diesel
70000,160774,1996,1,Felicia,petrol
135000,92038,1998,0,Felicia,autogas
279000,120000,1998,1,Octavia,diesel
109900,134173,1995,0,Felicia,petrol
279900,71371,1999,0,Octavia,petrol
109800,57000,1996,0,Felicia,petrol
220000,68000,1998,0,Octavia,petrol
79000,110000,1996,1,Felicia,petrol
315000,101000,1999,0,Octavia,diesel
179900,58000,1999,0,Felicia,petrol
519000,14413,2003,1,Octavia,petrol
136000,137000,1998,1,Felicia,petrol
362900,53865,2003,0,Octavia,diesel
125000,142680,1996,0,Felicia,diesel
299000,50377,2000,0,Octavia,petrol
749000,56000,2002,0,Superb,diesel
139900,168592,1999,0,Felicia,diesel
173000,165900,1997,0,Octavia,petrol
220000,119841,1998,1,Octavia,petrol
126000,121000,1998,0,Felicia,petrol
714000,3109,2002,0,Octavia,petrol
239000,88000,2000,0,Octavia,petrol
199900,133368,1998,0,Octavia,autogas
99900,192548,1996,0,Felicia,petrol
96800,67000,1995,0,Felicia,petrol
85000,214485,1995,0,Felicia,petrol
339999,53865,2001,0,Octavia,petrol
135000,101652,1995,1,Felicia,petrol
177000,147450,1997,0,Octavia,petrol
89900,148242,1995,0,Felicia,petrol
659000,26193,2002,0,Superb,diesel
439000,79832,2001,1,Octavia,diesel
96000,123000,1995,0,Felicia,petrol
159000,138000,1997,0,Octavia,petrol
135000,213457,1995,0,Felicia,autogas
369000,135635,2000,0,Octavia,diesel
99900,140693,1995,0,Felicia,petrol
95000,108000,1996,0,Felicia,petrol
212000,126300,1999,0,Octavia,petrol
346000,138000,2001,1,Octavia,diesel
786400,5000,2003,0,Superb,petrol
169000,34125,2000,0,Felicia,petrol
275000,112847,1999,0,Octavia,diesel
129000,88000,1999,0,Felicia,petrol
99900,125398,1996,0,Felicia,petrol
199000,165000,1999,0,Octavia,petrol
229000,152000,1998,0,Octavia,diesel
129900,166692,1998,0,Felicia,petrol
159900,79000,1997,0,Octavia,petrol
124000,121368,1997,0,Felicia,diesel
139000,112855,1997,0,Felicia,diesel
114000,230000,1997,0,Felicia,diesel
314999,123000,2000,0,Octavia,petrol
99000,93400,1998,0,Felicia,petrol
205000,72589,1998,0,Octavia,petrol
149000,42000,1998,0,Felicia,petrol
146000,51000,2000,0,Felicia,petrol
652000,59128,2002,0,Superb,petrol
839000,13514,2003,0,Superb,diesel
85000,133500,1996,1,Felicia,petrol
199900,143244,1997,0,Octavia,petrol
465000,24958,2002,0,Octavia,diesel
168800,65000,1998,1,Felicia,petrol
275000,49964,2001,0,Octavia,petrol
185000,96406,1997,0,Octavia,petrol
245000,179000,2002,1,Octavia,petrol
90000,120000,1997,0,Felicia,petrol
289000,106000,2000,1,Octavia,diesel
136750,136750,1998,1,Felicia,diesel
85000,165666,1995,0,Felicia,petrol
115000,122781,1996,0,Felicia,petrol
219000,96000,1998,0,Octavia,petrol
199900,102865,1999,0,Octavia,petrol
630000,35000,2002,0,Superb,petrol
129000,102000,1999,0,Felicia,petrol
99900,132524,1995,0,Felicia,petrol
179000,114655,1998,0,Octavia,petrol
349000,89000,2001,1,Octavia,diesel
155000,34401,1999,0,Felicia,petrol
880000,43330,2000,1,Octavia,diesel
141000,69000,1997,1,Felicia,petrol
179000,139000,1997,0,Octavia,petrol
459000,13200,2002,0,Octavia,diesel
185000,137000,1998,0,Octavia,petrol
109900,154992,1995,0,Felicia,petrol
119000,41140,1996,1,Felicia,petrol
115000,106609,1998,0,Felicia,petrol
119900,151518,1998,0,Felicia,petrol
849000,16295,2003,0,Superb,diesel
579000,17380,2003,1,Octavia,diesel
934000,8825,2002,0,Superb,diesel
479900,23173,2002,0,Octavia,petrol
99900,146297,1996,0,Felicia,petrol
259900,68297,1997,0,Octavia,diesel
155000,57420,2000,0,Felicia,petrol
539000,19081,2003,1,Octavia,diesel
129800,62000,1997,1,Felicia,petrol
109900,100000,1996,1,Felicia,petrol
699000,5900,2002,1,Octavia,diesel
899000,14400,2003,0,Superb,petrol
339000,85361,2000,0,Octavia,diesel
125000,110435,1999,0,Felicia,petrol
159800,38000,2000,0,Felicia,petrol
168000,21360,2001,0,Felicia,petrol
99000,82000,1997,0,Felicia,petrol
207000,105000,2000,0,Octavia,petrol
139900,121086,1998,0,Felicia,petrol
175000,105000,1998,0,Octavia,petrol
649000,8129,2003,0,Superb,diesel
129000,116694,1999,0,Felicia,petrol
125000,140213,1996,0,Felicia,diesel
249000,43815,2000,0,Octavia,petrol
455000,73622,2000,1,Octavia,petrol
179000,54877,1999,0,Octavia,petrol
73000,129000,1995,0,Felicia,petrol
195000,101274,1998,0,Octavia,petrol
89900,189657,1995,0,Felicia,petrol
239000,126390,1997,0,Octavia,diesel
92000,98000,1996,0,Felicia,petrol
89000,95213,1997,0,Felicia,petrol
132000,144000,1999,0,Felicia,petrol
550000,25000,2002,0,Octavia,petrol
159800,47000,1998,1,Felicia,petrol
436000,280,2002,0,Octavia,petrol
139900,122526,1999,0,Felicia,autogas
149000,89883,1997,1,Felicia,diesel
439000,78000,2001,1,Octavia,diesel
399900,68000,2001,0,Octavia,diesel
99900,215904,1995,0,Felicia,petrol
99900,207993,1995,0,Felicia,petrol
319000,53136,2001,0,Octavia,petrol
399000,21000,2001,0,Octavia,petrol
440000,29184,2002,0,Octavia,diesel
115000,75000,1995,1,Felicia,petrol
139000,56056,1998,0,Felicia,petrol
109900,58288,1997,0,Felicia,petrol
185000,195000,1998,0,Octavia,petrol
195000,113247,2000,0,Octavia,petrol
112000,102000,2000,0,Felicia,petrol
349000,20000,2002,1,Octavia,petrol
110000,103251,1996,0,Felicia,petrol
104000,115500,1995,0,Felicia,petrol
155000,93854,1998,0,Felicia,diesel
129999,75666,1998,0,Felicia,petrol
109900,163874,1995,0,Felicia,petrol
229000,106231,1998,0,Octavia,petrol
125000,110000,1997,1,Felicia,petrol
649000,42000,2002,1,Octavia,diesel
109900,144081,1997,0,Felicia,petrol
119900,137313,1997,0,Felicia,diesel
99900,117388,1995,0,Felicia,petrol
139000,77000,1999,0,Felicia,petrol
579000,1150,2002,0,Superb,petrol
138000,128350,1998,0,Felicia,petrol
249000,98552,1999,0,Octavia,petrol
129900,110438,1998,0,Felicia,petrol
80000,128073,1996,1,Felicia,petrol
89900,138000,1995,0,Felicia,petrol
169900,125740,2001,0,Felicia,petrol
199900,126057,1997,0,Octavia,autogas
84000,133465,1996,0,Felicia,petrol
83000,86886,1995,0,Felicia,petrol
649000,26937,2003,1,Octavia,diesel
269000,94409,1998,0,Octavia,diesel
549000,18000,2002,0,Octavia,petrol
155000,75666,2000,0,Felicia,diesel
132000,33000,1995,0,Felicia,petrol
157800,14000,2000,0,Felicia,petrol
119000,73000,1997,0,Felicia,petrol
144000,122500,1999,1,Felicia,diesel
165000,48690,2000,0,Felicia,petrol
89900,114443,1995,0,Felicia,petrol
385000,140000,2001,0,Octavia,diesel
289000,76600,1998,1,Octavia,petrol
95000,121000,1997,0,Felicia,petrol
359000,95714,2001,0,Octavia,petrol
125000,90150,1999,0,Felicia,petrol
285000,85000,1999,1,Octavia,diesel
249000,76000,1998,0,Octavia,petrol
212000,60000,1999,0,Octavia,petrol
79000,103000,1995,0,Felicia,petrol
349000,96000,2000,1,Octavia,diesel
66000,99000,1995,1,Felicia,petrol
224000,106200,1999,1,Octavia,petrol
132000,46000,1997,0,Felicia,petrol
172000,177723,1997,0,Octavia,petrol
375000,51862,2001,0,Octavia,petrol
109900,95797,1997,0,Felicia,petrol
469000,46175,2001,0,Octavia,petrol
949000,18600,2002,0,Superb,petrol
124800,61000,1996,1,Felicia,petrol
529000,8949,2003,0,Octavia,petrol
146000,89000,1998,0,Felicia,petrol
70000,122716,1996,1,Felicia,petrol
339000,78309,2000,0,Octavia,diesel
75000,96000,1995,0,Felicia,petrol
129000,152432,1996,0,Felicia,petrol
329000,34000,2000,0,Octavia,diesel
537000,2765,2003,0,Octavia,diesel
85000,114127,1995,0,Felicia,petrol
91000,86000,1996,0,Felicia,petrol
135000,84247,1997,0,Felicia,petrol
120000,167618,1998,1,Felicia,petrol
189900,43195,1996,0,Octavia,petrol
639000,9174,2003,1,Octavia,diesel
90000,111500,1996,1,Felicia,petrol
249000,128000,1999,0,Octavia,petrol
380000,32000,2001,0,Octavia,diesel
135000,144163,1998,0,Felicia,petrol
129000,152432,1996,0,Felicia,petrol
519000,28537,2002,0,Octavia,diesel
385000,132858,1999,0,Octavia,diesel
271000,179000,1999,1,Octavia,petrol
177700,137000,1997,0,Octavia,petrol
109000,96000,1998,0,Felicia,petrol
139000,33000,2000,0,Felicia,petrol
158000,80973,1999,0,Felicia,petrol
95000,125815,1995,0,Felicia,petrol
680000,19800,2003,0,Superb,petrol
286000,134600,1999,0,Octavia,petrol
349000,28030,2002,0,Octavia,petrol
289000,114000,2000,0,Octavia,diesel
239000,33000,1999,0,Octavia,petrol
99000,93100,1996,0,Felicia,petrol
199900,79000,1999,0,Octavia,petrol
155000,103923,1999,0,Felicia,diesel
649000,31000,2002,1,Octavia,petrol
129000,70000,1998,0,Felicia,petrol
289000,122000,1999,1,Octavia,petrol
85000,137000,1995,0,Felicia,petrol
189900,72000,1997,0,Octavia,petrol
